project_owner,project_name,p_of_chi_test,residual_1_1,residual_1_2,residual_2_1,residual_2_2,odds_ratio,p_of_odds_ratio
sensu,sensu,4.67096072536318e-05,-1.23691660140469,2.38356577447887,1.46386407761817,-2.82089860378401,0.454526798519634,2.47522418540536e-05
concerto,concerto,0.0279788047674803,-0.679015696599702,2.04972329856775,0.26247736872282,-0.792332166564179,0.61968669097276,0.0265323249142252
MagLev,maglev,0.568802917509415,-0.375675556418385,0.405775977979607,0.246346936629651,-0.26608510302398,0.886359848977357,0.509933528755429
thoughtbot,factory_girl_rails,0.220630468735155,0.947931418956331,-0.63402966840257,-0.834068446968262,0.557871730255093,2.39382694625017,0.145467463762503
praekelt,vumi,0.16696389168378,-0.606675421910274,0.918228204026085,0.507440528813064,-0.768032111726091,0.860143434104601,0.152246853306507
pivotal,jasmine-gem,0.113560667947704,-0.827048366250985,1.32421688018169,0.4449748367014,-0.712465212508829,0.530285385797244,0.0856732701547074
alphagov,panopticon,7.15986574787834e-05,-2.13697147948535,3.17660463201933,0.93543901548434,-1.39052857657922,0.204522540776978,7.45484322650647e-05
puppetlabs,puppetlabs-firewall,7.3109269663439e-07,-1.40692054397161,3.01032506341576,1.63389712218638,-3.49597671242749,0.174769664833672,1.0806792194451e-07
seancribbs,webmachine-ruby,0.0843855220903226,-0.846338174025711,1.23684565135653,0.597429340939529,-0.873088211085947,0.676525162057489,0.0694475397668721
openSUSE,open-build-service,0.000875268024355097,-1.74303766184823,2.43905011710664,0.909276354538696,-1.27235954079632,0.703648765897264,0.000816438958201271
expertiza,expertiza,0.0881931284753072,1.58151186034101,-0.792780916661981,-0.679251555012042,0.340495499230975,2.11112951110245,0.0677850449714028
learning-unlimited,ESP-Website,0.704459642245815,0.320627279976704,-0.191079798078598,-0.221208313130725,0.131830453757387,1.06969702962072,0.648792263580057
cucumber,cucumber-jvm,0.019833738021362,0.814334800547955,-1.78736013683427,-0.594783807428422,1.3054739484506,1.69984658617938,0.0138701674308122
tdiary,tdiary-core,0.330231617965629,0.447881058355201,-0.852342674491141,-0.23433341427549,0.445949578175303,1.2875704573951,0.279184996449507
hasgeek,lastuser,0.999999999999999,0.122192621961718,-0.109646674903334,-0.0735945679400966,0.0660383543296679,1.07702995367479,0.848595983300233
OpenSlides,OpenSlides,1.95248750505037e-20,-2.00035794967244,4.32294424363534,3.37415315474607,-7.29183292412343,0.0858449946123048,0
Pylons,substanced,0.731263535692721,0.245410404384318,-0.434462809756992,-0.0935365491316447,0.165592620462283,1.22181079356499,0.612487265235209
travis-ci,travis-hub,0.320011557590832,-0.567358675707016,1.13713250281913,0.0841351802429518,-0.16862850993789,0.52392016744653,0.223249550945466
travis-ci,travis-worker,5.00944886960288e-11,-4.70799889626244,4.27544574581958,1.45314615563204,-1.31963657724799,0.269379738652269,5.46540590562472e-12
travis-ci,travis-api,0.102919538730857,0.708168368062711,-1.50810521011425,-0.24442139928089,0.520516309881668,1.6917447077168,0.071582640042285
alphagov,frontend,0.165894589684565,0.588667848817008,-1.10174104246434,-0.373778132618877,0.699556991789966,1.33243377241387,0.138128057363181
railsbridge,docs,0.000198368868638311,-0.851602442867445,2.81325980573633,0.7324189665836,-2.41953843240596,0.294618035792642,0.000131066332135221
openmicroscopy,openmicroscopy,0.00192630481620675,-0.352113684306278,1.6668677350019,0.558828838556367,-2.64543470445743,0.493720669159916,0.000871870357063709
enthought,enstaller,0.160576420047172,0.582930612705728,-1.11407516850701,-0.392074880037208,0.74931883576566,1.42132317394535,0.129157246705579
alphagov,rummager,0.30792446926734,0.516139064068487,-0.878953154056991,-0.338924067603554,0.577166889593226,1.65705435261707,0.229354407715115
opscode,omnibus-ruby,0.273891606383477,-0.292502526526216,0.961920466856915,0.23945169901846,-0.787458121627117,0.596209736884236,0.204651202889979
opscode,knife-azure,0.999999999999999,-0.0164887129593311,0.0446516457748758,0.0131590338991951,-0.03563483225499,0.973559332621323,0.944238681668564
opscode-cookbooks,yum,0.622985014829489,-0.422622490160521,0.460869619961769,0.266135326328479,-0.290220443916321,0.698492875673424,0.472951417346117
causes,mock_redis,0.500611836528005,-0.441776940297007,0.671806054797108,0.316814662792318,-0.481777089970543,0.550191894481856,0.345273553835217
rails,sprockets-rails,0.730075190603437,0.20468340254657,-0.290234879342059,-0.179463111098059,0.25447326821746,1.1269450630307,0.640554285662295
plone,plone.app.multilingual,0.236010629978033,0.841543121795838,-0.775864422412577,-0.547376367644952,0.504656075637413,1.62887490199556,0.179216660867412
collectiveidea,tinder,0.268818674639238,-0.530517504341955,1.14232179605136,0.326075314443515,-0.70211243888201,0.375333023475206,0.171518128761753
